Mark,Competitor,DOB,Nat,Venue,Date,Age_category,Event,Age,Gender,is_indoor
2.45,Javier SOTOMAYOR,1967-10-13,CUB,Salamanca (ESP),1993-07-27,senior,high jump,25,M,0
2.44,Javier SOTOMAYOR,1967-10-13,CUB,San Juan (PUR),1989-07-29,senior,high jump,21,M,0
2.43,Javier SOTOMAYOR,1967-10-13,CUB,Salamanca (ESP),1988-09-08,senior,high jump,20,M,0
2.43,Javier SOTOMAYOR,1967-10-13,CUB,"Budapest Sportcsarnok, Budapest (HUN) (i)",1989-03-04,senior,high jump,21,M,1
2.43,Mutaz Essa BARSHIM,1991-06-24,QAT,"Boudewijnstadion, Bruxelles (BEL)",2014-09-05,senior,high jump,23,M,0
2.42,Patrik SJÖBERG,1965-01-05,SWE,Stockholm (SWE),1987-06-30,senior,high jump,22,M,0
2.42,Carlo THRÄNHARDT,1957-07-05,FRG,Berlin (GER) (i),1988-02-26,senior,high jump,30,M,1
2.42,Javier SOTOMAYOR,1967-10-13,CUB,Sevilla (ESP),1994-06-05,senior,high jump,26,M,0
2.42,Bohdan BONDARENKO,1989-08-30,UKR,"Icahn Stadium, New York, NY (USA)",2014-06-14,senior,high jump,24,M,0
2.42,Mutaz Essa BARSHIM,1991-06-24,QAT,"Icahn Stadium, New York, NY (USA)",2014-06-14,senior,high jump,22,M,0
2.41,Igor PAKLIN,1963-06-15,URS,Kobe (JPN),1985-09-04,senior,high jump,22,M,0
2.41,Patrik SJÖBERG,1965-01-05,SWE,Pireaus (GRE) (i),1987-02-01,senior,high jump,22,M,1
2.41,Javier SOTOMAYOR,1967-10-13,CUB,"The Sky Dome, Toronto (CAN) (i)",1993-03-14,senior,high jump,25,M,1
2.41,Javier SOTOMAYOR,1967-10-13,CUB,La Habana (CUB),1994-06-25,senior,high jump,26,M,0
2.41,Javier SOTOMAYOR,1967-10-13,CUB,"Crystal Palace, London (GBR)",1994-07-15,senior,high jump,26,M,0
2.41,Bohdan BONDARENKO,1989-08-30,UKR,"Stade Olympique de la Pontaise, Lausanne (SUI)",2013-07-04,senior,high jump,23,M,0
2.41,Bohdan BONDARENKO,1989-08-30,UKR,"Luzhniki Stadion, Moskva (RUS)",2013-08-15,senior,high jump,23,M,0
2.41,Mutaz Essa BARSHIM,1991-06-24,QAT,"Stadio Olimpico, Roma (ITA)",2014-06-05,senior,high jump,22,M,0
2.41,Mutaz Essa BARSHIM,1991-06-24,QAT,Eberstadt (GER),2014-08-22,senior,high jump,23,M,0
2.41,Mutaz Essa BARSHIM,1991-06-24,QAT,Athlone (IRL) (i),2015-02-18,senior,high jump,23,M,1
2.41,Mutaz Essa BARSHIM,1991-06-24,QAT,"Hayward Field, Eugene, OR (USA)",2015-05-30,senior,high jump,23,M,0
2.4,Rudolf POVARNITSYN,1962-06-13,URS,Donetsk (URS),1985-08-11,senior,high jump,23,M,0
2.4,Carlo THRÄNHARDT,1957-07-05,FRG,Simmerath (FRG) (i),1987-01-16,senior,high jump,29,M,1
2.4,Patrik SJÖBERG,1965-01-05,SWE,Berlin (GER) (i),1987-02-27,senior,high jump,22,M,1
2.4,Javier SOTOMAYOR,1967-10-13,CUB,La Habana (CUB),1989-03-12,senior,high jump,21,M,0
2.4,Patrik SJÖBERG,1965-01-05,SWE,Bruxelles (BEL),1989-08-05,senior,high jump,24,M,0
2.4,Javier SOTOMAYOR,1967-10-13,CUB,Bogotá (COL),1989-08-13,senior,high jump,21,M,0
2.4,Sorin MATEI,1963-07-06,ROU,Bratislava (TCH),1990-06-20,senior,high jump,26,M,0
2.4,Hollis CONWAY,1967-01-08,USA,"Palacio de los Deportes, Sevilla (ESP) (i)",1991-03-10,senior,high jump,24,M,1
2.4,Javier SOTOMAYOR,1967-10-13,CUB,Paris-St-Denis (FRA),1991-07-19,senior,high jump,23,M,0
2.4,Charles AUSTIN,1967-12-19,USA,"Letzigrund, Zürich (SUI)",1991-08-07,senior,high jump,23,M,0
2.4,Javier SOTOMAYOR,1967-10-13,CUB,La Habana (CUB),1993-05-22,senior,high jump,25,M,0
2.4,Javier SOTOMAYOR,1967-10-13,CUB,"Crystal Palace, London (GBR)",1993-07-23,senior,high jump,25,M,0
2.4,Javier SOTOMAYOR,1967-10-13,CUB,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-22,senior,high jump,25,M,0
2.4,Javier SOTOMAYOR,1967-10-13,CUB,Wuppertal (GER) (i),1994-02-04,senior,high jump,26,M,1
2.4,Javier SOTOMAYOR,1967-10-13,CUB,Birmingham (GBR) (i),1994-02-26,senior,high jump,26,M,1
2.4,Javier SOTOMAYOR,1967-10-13,CUB,Eberstadt (GER),1994-07-10,senior,high jump,26,M,0
2.4,Javier SOTOMAYOR,1967-10-13,CUB,Nice (FRA),1994-07-18,senior,high jump,26,M,0
2.4,Javier SOTOMAYOR,1967-10-13,CUB,St. Petersburg (RUS),1994-07-29,senior,high jump,26,M,0
2.4,Javier SOTOMAYOR,1967-10-13,CUB,"Crystal Palace, London (GBR)",1994-09-11,senior,high jump,26,M,0
2.4,Javier SOTOMAYOR,1967-10-13,CUB,Mar del Plata (ARG),1995-03-25,senior,high jump,27,M,0
2.4,Vyacheslav VORONIN,1974-04-05,RUS,"Crystal Palace, London (GBR)",2000-08-05,senior,high jump,26,M,0
2.4,Stefan HOLM,1976-05-25,SWE,"Palacio de Deportes, Madrid (ESP) (i)",2005-03-06,senior,high jump,28,M,1
2.4,Ivan UKHOV,1986-03-29,RUS,"Peace and Friendship Stadium, Piraeus (GRE) (i)",2009-02-25,senior,high jump,22,M,1
2.4,Mutaz Essa BARSHIM,1991-06-24,QAT,"Hayward Field, Eugene, OR (USA)",2013-06-01,senior,high jump,21,M,0
2.4,Aleksey DMITRIK,1984-04-12,RUS,Arnstadt (GER) (i),2014-02-08,senior,high jump,29,M,1
2.4,Derek DROUIN,1990-03-06,CAN,"Des Moines, IA (USA)",2014-04-25,senior,high jump,24,M,0
2.4,Bohdan BONDARENKO,1989-08-30,UKR,Tokyo (JPN),2014-05-11,senior,high jump,24,M,0
2.4,Bohdan BONDARENKO,1989-08-30,UKR,"Stade Olympique de la Pontaise, Lausanne (SUI)",2014-07-03,senior,high jump,24,M,0
