Mark,WIND,Competitor,DOB,Nat,Venue,Date,Age_category,Event,Age,Gender,is_indoor
8.99,+4.4,Mike POWELL,1963-11-10,USA,Sestriere (ITA),1992-07-21,senior,long jump,28,M,0
8.95,+0.3,Mike POWELL,1963-11-10,USA,"National Stadium, Tokyo (JPN)",1991-08-30,senior,long jump,27,M,0
8.95,+3.9,Mike POWELL,1963-11-10,USA,Sestriere (ITA),1994-07-31,senior,long jump,30,M,0
8.92,+3.3,Juan Miguel ECHEVARRÍA,1998-08-11,CUB,La Habana (CUB),2019-03-10,senior,long jump,20,M,0
8.91,+2.9,Carl LEWIS,1961-07-01,USA,"National Stadium, Tokyo (JPN)",1991-08-30,senior,long jump,30,M,0
8.9,+2.0,Bob BEAMON,1946-08-29,USA,"Estadio Olímpico, Ciudad de México (MEX)",1968-10-18,senior,long jump,22,M,0
8.9,+3.7,Mike POWELL,1963-11-10,USA,"Modesto, CA (USA)",1992-05-16,senior,long jump,28,M,0
8.87,-0.2,Carl LEWIS,1961-07-01,USA,"National Stadium, Tokyo (JPN)",1991-08-30,senior,long jump,30,M,0
8.86,+1.9,Robert EMMIYAN,1965-02-16,URS,Tsakhadzor (ARM),1987-05-22,senior,long jump,22,M,0
8.83,+2.1,Juan Miguel ECHEVARRÍA,1998-08-11,CUB,"Olympiastadion, Stockholm (SWE)",2018-06-10,senior,long jump,19,M,0
8.79,+1.9,Carl LEWIS,1961-07-01,USA,"Indianapolis, IN (USA)",1983-06-19,senior,long jump,21,M,0
8.79,0.0,Carl LEWIS,1961-07-01,USA,"New York, NY (USA) (i)",1984-01-27,senior,long jump,22,M,1
8.79,+3.0,Iván PEDROSO,1972-12-17,CUB,La Habana (CUB),1992-05-21,senior,long jump,19,M,0
8.78,+3.1,Fabrice LAPIERRE,1983-10-17,AUS,Perth (AUS),2010-04-18,senior,long jump,26,M,0
8.77,+3.9,Carl LEWIS,1961-07-01,USA,"Westwood, CA (USA)",1985-05-18,senior,long jump,23,M,0
8.77,+3.4,Carl LEWIS,1961-07-01,USA,"Walnut, CA (USA)",1987-04-26,senior,long jump,25,M,0
8.76,+1.0,Carl LEWIS,1961-07-01,USA,"Indianapolis, IN (USA)",1982-07-24,senior,long jump,21,M,0
8.76,+0.8,Carl LEWIS,1961-07-01,USA,"Indianapolis, IN (USA)",1988-07-18,senior,long jump,27,M,0
8.75,+2.1,Carl LEWIS,1961-07-01,USA,"Indianapolis, IN (USA)",1987-08-16,senior,long jump,26,M,0
