Mark,WIND,Competitor,DOB,Nat,Venue,Date,Age_category,Event,Age,Gender,is_indoor
18.43,+2.4,Jonathan EDWARDS,1966-05-10,GBR,Villeneuve d'Ascq (FRA),1995-06-25,senior,triple jump,29,M,0
18.29,+1.3,Jonathan EDWARDS,1966-05-10,GBR,"Ullevi Stadium, Göteborg (SWE)",1995-08-07,senior,triple jump,29,M,0
18.21,+0.2,Christian TAYLOR,1990-06-18,USA,"National Stadium, Beijing (CHN)",2015-08-27,senior,triple jump,25,M,0
18.2,+5.2,Willie BANKS,1956-03-11,USA,"Indianapolis, IN (USA)",1988-07-16,senior,triple jump,32,M,0
18.18,-0.3,Jordan A. DÍAZ FORTUN,2001-02-23,ESP,"Stadio Olimpico, Roma (ITA)",2024-06-11,senior,triple jump,23,M,0
18.17,+2.1,Mike CONLEY,1962-10-05,USA,"Estadio Olímpico, Barcelona (ESP)",1992-08-03,senior,triple jump,29,M,0
18.14,+0.4,Will CLAYE,1991-06-13,USA,"Long Beach, CA (USA)",2019-06-29,senior,triple jump,28,M,0
18.11,+0.8,Christian TAYLOR,1990-06-18,USA,"Hayward Field, Eugene, OR (USA)",2017-05-27,senior,triple jump,26,M,0
18.09,-0.4,Kenny HARRISON,1965-02-13,USA,"Olympic Stadium, Atlanta, GA (USA)",1996-07-27,senior,triple jump,31,M,0
18.08,+2.5,Jonathan EDWARDS,1966-05-10,GBR,Sheffield (GBR),1995-07-23,senior,triple jump,29,M,0
18.08,0.0,Pedro PICHARDO,1993-06-30,CUB,La Habana (CUB),2015-05-28,senior,triple jump,21,M,0
18.07,0.0,Hugues Fabrice ZANGO,1993-06-25,BUR,"Stadium Jean-Pellez, Aubière (FRA) (i)",2021-01-16,senior,triple jump,27,M,1
18.06,+0.8,Pedro PICHARDO,1993-06-30,CUB,"Suhaim bin Hamad Stadium, Doha (QAT)",2015-05-15,senior,triple jump,21,M,0
18.06,+1.1,Christian TAYLOR,1990-06-18,USA,"Stade Olympique de la Pontaise, Lausanne (SUI)",2015-07-09,senior,triple jump,25,M,0
18.06,+0.4,Will CLAYE,1991-06-13,USA,"Stade Charléty, Paris (FRA)",2019-08-24,senior,triple jump,28,M,0
18.05,+2.4,Will CLAYE,1991-06-13,USA,"Hayward Field, Eugene, OR (USA)",2017-05-27,senior,triple jump,25,M,0
18.04,+0.3,Teddy TAMGHO,1989-06-15,FRA,"Luzhniki Stadion, Moskva (RUS)",2013-08-18,senior,triple jump,24,M,0
18.04,+0.8,Christian TAYLOR,1990-06-18,USA,"Suhaim bin Hamad Stadium, Doha (QAT)",2015-05-15,senior,triple jump,24,M,0
18.04,-0.6,Pedro PICHARDO,1993-06-30,POR,"Stadio Olimpico, Roma (ITA)",2024-06-11,senior,triple jump,30,M,0
18.03,+2.9,Jonathan EDWARDS,1966-05-10,GBR,Gateshead (GBR),1995-07-02,senior,triple jump,29,M,0
