Mark,Competitor,DOB,Nat,Venue,Date,Age_category,Event,Age,Gender,is_indoor
2.1,Yaroslava MAHUCHIKH,2001-09-19,UKR,"Stade Charléty, Paris (FRA)",2024-07-07,senior,high jump,22,F,0
2.09,Stefka KOSTADINOVA,1965-03-25,BUL,"Stadio Olimpico, Roma (ITA)",1987-08-30,senior,high jump,22,F,0
2.08,Stefka KOSTADINOVA,1965-03-25,BUL,Sofia (BUL),1986-05-31,senior,high jump,21,F,0
2.08,Kajsa BERGQVIST,1976-10-12,SWE,Arnstadt (GER) (i),2006-02-04,senior,high jump,29,F,1
2.08,Blanka VLAŠIĆ,1983-11-08,CRO,Zagreb (CRO),2009-08-31,senior,high jump,25,F,0
2.07,Lyudmila ANDONOVA,1960-05-06,BUL,Berlin (GDR),1984-07-20,senior,high jump,24,F,0
2.07,Stefka KOSTADINOVA,1965-03-25,BUL,Sofia (BUL),1986-05-25,senior,high jump,21,F,0
2.07,Stefka KOSTADINOVA,1965-03-25,BUL,Cagliari (ITA),1987-09-16,senior,high jump,22,F,0
2.07,Stefka KOSTADINOVA,1965-03-25,BUL,Sofia (BUL),1988-09-03,senior,high jump,23,F,0
2.07,Heike HENKEL,1964-05-05,GER,Karlsruhe (GER) (i),1992-02-08,senior,high jump,27,F,1
2.07,Blanka VLAŠIĆ,1983-11-08,CRO,Stockholm (SWE),2007-08-07,senior,high jump,23,F,0
2.07,Anna CHICHEROVA,1982-07-22,RUS,Cheboksary (RUS),2011-07-22,senior,high jump,29,F,0
2.06,Stefka KOSTADINOVA,1965-03-25,BUL,Moskva (URS),1985-08-18,senior,high jump,20,F,0
2.06,Stefka KOSTADINOVA,1965-03-25,BUL,Fürth (GER),1986-06-15,senior,high jump,21,F,0
2.06,Stefka KOSTADINOVA,1965-03-25,BUL,Cagliari (ITA),1986-09-14,senior,high jump,21,F,0
2.06,Stefka KOSTADINOVA,1965-03-25,BUL,Wörrstadt (GER),1987-06-06,senior,high jump,22,F,0
2.06,Stefka KOSTADINOVA,1965-03-25,BUL,Rieti (ITA),1987-09-08,senior,high jump,22,F,0
2.06,Stefka KOSTADINOVA,1965-03-25,BUL,Athina (GRE) (i),1988-02-20,senior,high jump,22,F,1
2.06,Kajsa BERGQVIST,1976-10-12,SWE,Eberstadt (GER),2003-07-26,senior,high jump,26,F,0
2.06,Hestrie CLOETE,1978-08-26,RSA,"Stade de France, Paris-St-Denis (FRA)",2003-08-31,senior,high jump,25,F,0
2.06,Yelena SLESARENKO,1982-02-28,RUS,"Olympic Stadium, Athina (GRE)",2004-08-28,senior,high jump,22,F,0
2.06,Blanka VLAŠIĆ,1983-11-08,CRO,Thessaloniki (GRE),2007-07-30,senior,high jump,23,F,0
2.06,Blanka VLAŠIĆ,1983-11-08,CRO,Istanbul (TUR),2008-06-22,senior,high jump,24,F,0
2.06,Blanka VLAŠIĆ,1983-11-08,CRO,Madrid (ESP),2008-07-05,senior,high jump,24,F,0
2.06,Ariane FRIEDRICH,1984-01-10,GER,"Olympiastadion, Berlin (GER)",2009-06-14,senior,high jump,25,F,0
2.06,Blanka VLAŠIĆ,1983-11-08,CRO,Arnstadt (GER) (i),2010-02-06,senior,high jump,26,F,1
2.06,Anna CHICHEROVA,1982-07-22,RUS,Arnstadt (GER) (i),2012-02-04,senior,high jump,29,F,1
2.06,Mariya LASITSKENE,1993-01-14,ANA,"Stade Olympique de la Pontaise, Lausanne (SUI)",2017-07-06,senior,high jump,24,F,0
2.06,Mariya LASITSKENE,1993-01-14,ANA,"Mestský Stadion, Ostrava (CZE)",2019-06-20,senior,high jump,26,F,0
2.06,Yaroslava MAHUCHIKH,2001-09-19,UKR,"Športová hala Dukla, Banská Bystrica (SVK) (i)",2021-02-02,senior,high jump,19,F,1
2.05,Tamara BYKOVA,1958-12-21,URS,Kiev (URS),1984-06-22,senior,high jump,25,F,0
2.05,Stefka KOSTADINOVA,1965-03-25,BUL,Wörrstadt (GER),1986-06-14,senior,high jump,21,F,0
2.05,Stefka KOSTADINOVA,1965-03-25,BUL,Rieti (ITA),1986-09-07,senior,high jump,21,F,0
2.05,Stefka KOSTADINOVA,1965-03-25,BUL,"Hoosier Dome, Indianapolis, IN (USA) (i)",1987-03-08,senior,high jump,21,F,1
2.05,Stefka KOSTADINOVA,1965-03-25,BUL,Oslo (NOR),1987-07-04,senior,high jump,22,F,0
2.05,Stefka KOSTADINOVA,1965-03-25,BUL,Padova (ITA),1987-09-13,senior,high jump,22,F,0
2.05,Stefka KOSTADINOVA,1965-03-25,BUL,Budapest (HUN),1988-08-12,senior,high jump,23,F,0
2.05,Heike HENKEL,1964-05-05,GER,"National Stadium, Tokyo (JPN)",1991-08-31,senior,high jump,27,F,0
2.05,Stefka KOSTADINOVA,1965-03-25,BUL,Sofia (BUL) (i),1992-02-01,senior,high jump,26,F,1
2.05,Stefka KOSTADINOVA,1965-03-25,BUL,San Marino (SMR),1992-07-04,senior,high jump,27,F,0
2.05,Stefka KOSTADINOVA,1965-03-25,BUL,Fukuoka (JPN),1993-09-18,senior,high jump,28,F,0
2.05,Inga BABAKOVA,1967-06-27,UKR,Tokyo (JPN),1995-09-15,senior,high jump,28,F,0
2.05,Stefka KOSTADINOVA,1965-03-25,BUL,"Olympic Stadium, Atlanta, GA (USA)",1996-08-03,senior,high jump,31,F,0
2.05,Kajsa BERGQVIST,1976-10-12,SWE,Poznan (POL),2002-08-18,senior,high jump,25,F,0
2.05,Hestrie CLOETE,1978-08-26,RSA,"Olympiastadion, Berlin (GER)",2003-08-10,senior,high jump,24,F,0
2.05,Blanka VLAŠIĆ,1983-11-08,CRO,Banská Bystrica (SVK) (i),2006-02-14,senior,high jump,22,F,1
2.05,Kajsa BERGQVIST,1976-10-12,SWE,"Crystal Palace, London (GBR)",2006-07-28,senior,high jump,29,F,0
2.05,Tia HELLEBAUT,1978-02-16,BEL,"National Indoor Arena, Birmingham (GBR) (i)",2007-03-03,senior,high jump,29,F,1
2.05,Blanka VLAŠIĆ,1983-11-08,CRO,Madrid (ESP),2007-07-21,senior,high jump,23,F,0
2.05,Blanka VLAŠIĆ,1983-11-08,CRO,"Yanmar Stadium Nagai, Osaka (JPN)",2007-09-02,senior,high jump,23,F,0
2.05,Blanka VLAŠIĆ,1983-11-08,CRO,Weinheim (GER) (i),2008-02-27,senior,high jump,24,F,1
2.05,Blanka VLAŠIĆ,1983-11-08,CRO,Ostrava (CZE),2008-06-12,senior,high jump,24,F,0
2.05,Blanka VLAŠIĆ,1983-11-08,CRO,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",2008-07-01,senior,high jump,24,F,0
2.05,Tia HELLEBAUT,1978-02-16,BEL,"National Stadium, Beijing (CHN)",2008-08-23,senior,high jump,30,F,0
2.05,Blanka VLAŠIĆ,1983-11-08,CRO,"National Stadium, Beijing (CHN)",2008-08-23,senior,high jump,24,F,0
2.05,Ariane FRIEDRICH,1984-01-10,GER,Karlsruhe (GER) (i),2009-02-15,senior,high jump,25,F,1
2.05,Blanka VLAŠIĆ,1983-11-08,CRO,Karlsruhe (GER) (i),2009-02-15,senior,high jump,25,F,1
2.05,Blanka VLAŠIĆ,1983-11-08,CRO,Doha (QAT),2009-05-08,senior,high jump,25,F,0
2.05,Chaunte LOWE,1984-01-12,USA,"Drake Stadium, Des Moines, IA (USA)",2010-06-26,senior,high jump,26,F,0
2.05,Blanka VLAŠIĆ,1983-11-08,CRO,"Poljud Stadion, Split (CRO)",2010-09-05,senior,high jump,26,F,0
2.05,Anna CHICHEROVA,1982-07-22,RUS,"Boudewijnstadion, Bruxelles (BEL)",2011-09-16,senior,high jump,29,F,0
2.05,Anna CHICHEROVA,1982-07-22,RUS,"Olympic Stadium, London (GBR)",2012-08-11,senior,high jump,30,F,0
2.05,Mariya LASITSKENE,1993-01-14,ANA,"Stade Louis II, Monaco (MON)",2017-07-21,senior,high jump,24,F,0
2.05,Mariya LASITSKENE,1993-01-14,RUS,"LFK CSKA, Moskva (RUS) (i)",2020-02-09,senior,high jump,27,F,1
2.05,Mariya LASITSKENE,1993-01-14,ANA,"Sechseläutenplatz, Zürich (SUI)",2021-09-08,senior,high jump,28,F,0
2.05,Yaroslava MAHUCHIKH,2001-09-19,UKR,"Boudewijnstadion, Bruxelles (BEL)",2022-09-02,senior,high jump,20,F,0
2.04,Tamara BYKOVA,1958-12-21,URS,Pisa (ITA),1983-08-25,senior,high jump,24,F,0
2.04,Stefka KOSTADINOVA,1965-03-25,BUL,Bruxelles (BEL),1985-08-30,senior,high jump,20,F,0
2.04,Stefka KOSTADINOVA,1965-03-25,BUL,Rieti (ITA),1985-09-04,senior,high jump,20,F,0
2.04,Stefka KOSTADINOVA,1965-03-25,BUL,Bern (SUI),1986-08-20,senior,high jump,21,F,0
2.04,Stefka KOSTADINOVA,1965-03-25,BUL,Genova (ITA) (i),1987-01-31,senior,high jump,21,F,1
2.04,Stefka KOSTADINOVA,1965-03-25,BUL,Drama (GRE),1987-08-08,senior,high jump,22,F,0
2.04,Tamara BYKOVA,1958-12-21,URS,"Stadio Olimpico, Roma (ITA)",1987-08-30,senior,high jump,28,F,0
2.04,Stefka KOSTADINOVA,1965-03-25,BUL,Pireaus (GRE) (i),1988-02-06,senior,high jump,22,F,1
2.04,Stefka KOSTADINOVA,1965-03-25,BUL,"Budapest Sportcsarnok, Budapest (HUN) (i)",1988-03-06,senior,high jump,22,F,1
2.04,Stefka KOSTADINOVA,1965-03-25,BUL,Formia (ITA),1988-06-19,senior,high jump,23,F,0
2.04,Stefka KOSTADINOVA,1965-03-25,BUL,Pireaus (GRE) (i),1989-03-08,senior,high jump,23,F,1
2.04,Silvia COSTA,1964-05-04,CUB,"Estadio Olímpico, Barcelona (ESP)",1989-09-09,senior,high jump,25,F,0
2.04,Heike HENKEL,1964-05-05,GER,"Stade Louis II, Monaco (MON)",1991-08-03,senior,high jump,27,F,0
2.04,Heike HENKEL,1964-05-05,GER,Karlsruhe (GER) (i),1992-01-31,senior,high jump,27,F,1
2.04,Heike HENKEL,1964-05-05,GER,Berlin (GER) (i),1992-02-21,senior,high jump,27,F,1
2.04,Heike HENKEL,1964-05-05,GER,Sindelfingen (GER) (i),1992-03-08,senior,high jump,27,F,1
2.04,Heike HENKEL,1964-05-05,GER,Wörrstadt (GER),1992-05-30,senior,high jump,28,F,0
2.04,Stefka KOSTADINOVA,1965-03-25,BUL,Stara Zagora (BUL),1992-06-27,senior,high jump,27,F,0
2.04,Stefka KOSTADINOVA,1965-03-25,BUL,Wörrstadt (GER),1993-05-29,senior,high jump,28,F,0
2.04,Alina ASTAFEI,1969-06-07,GER,Berlin (GER) (i),1995-03-03,senior,high jump,25,F,1
2.04,Inga BABAKOVA,1967-06-27,UKR,Hechtel (BEL),1995-07-22,senior,high jump,28,F,0
2.04,Stefka KOSTADINOVA,1965-03-25,BUL,Tokyo (JPN),1996-09-16,senior,high jump,31,F,0
2.04,Hestrie CLOETE,1978-08-26,RSA,"Stade Louis II, Monaco (MON)",1999-08-04,senior,high jump,20,F,0
2.04,Venelina VENEVA-MATEEVA,1974-06-13,BUL,Kalamata (GRE),2001-06-02,senior,high jump,26,F,0
