Mark,WIND,Competitor,DOB,Nat,Venue,Date,Age_category,Event,Age,Gender,is_indoor
7.63,+2.1,Heike DRECHSLER,1964-12-16,GER,Sestriere (ITA),1992-07-21,senior,long jump,27,F,0
7.52,+1.4,Galina CHISTYAKOVA,1962-07-26,URS,Leningrad (URS),1988-06-11,senior,long jump,25,F,0
7.49,+1.3,Jackie JOYNER-KERSEE,1962-03-03,USA,"New York, NY (USA)",1994-05-22,senior,long jump,32,F,0
7.49,+1.7,Jackie JOYNER-KERSEE,1962-03-03,USA,Sestriere (ITA),1994-07-31,senior,long jump,32,F,0
7.48,+1.2,Heike DRECHSLER,1964-12-16,GDR,Neubrandenburg (GDR),1988-07-09,senior,long jump,23,F,0
7.48,+0.4,Heike DRECHSLER,1964-12-16,GER,"Stade Olympique de la Pontaise, Lausanne (SUI)",1992-07-08,senior,long jump,27,F,0
7.45,+0.9,Heike DRECHSLER,1964-12-16,GDR,Tallinn (EST),1986-06-21,senior,long jump,21,F,0
7.45,+1.1,Heike DRECHSLER,1964-12-16,GDR,Dresden (GER),1986-07-03,senior,long jump,21,F,0
7.45,+0.6,Jackie JOYNER-KERSEE,1962-03-03,USA,"Indianapolis, IN (USA)",1987-08-13,senior,long jump,25,F,0
7.45,+1.0,Galina CHISTYAKOVA,1962-07-26,URS,Leningrad (URS),1988-06-11,senior,long jump,25,F,0
7.45,+2.6,Jackie JOYNER-KERSEE,1962-03-03,USA,"Indianapolis, IN (USA)",1988-07-23,senior,long jump,26,F,0
7.45,+1.6,Galina CHISTYAKOVA,1962-07-26,URS,Budapest (HUN),1988-08-12,senior,long jump,26,F,0
7.44,+2.0,Heike DRECHSLER,1964-12-16,GDR,Berlin (GDR),1985-09-22,senior,long jump,20,F,0
7.43,+1.4,Anișoara CUȘMIR,1962-06-28,ROU,Bucureşti (ROU),1983-06-04,senior,long jump,20,F,0
7.42,+2.0,Tatyana KOTOVA,1976-12-11,RUS,"Parc des Sports, Annecy (FRA)",2002-06-23,senior,long jump,25,F,0
7.4,+1.8,Heike DRECHSLER,1964-12-16,GDR,Dresden (GER),1984-07-26,senior,long jump,19,F,0
7.4,+0.7,Heike DRECHSLER,1964-12-16,GDR,Potsdam (GDR),1987-08-21,senior,long jump,22,F,0
7.4,+0.9,Jackie JOYNER-KERSEE,1962-03-03,USA,"Olympic Stadium, Seoul (KOR)",1988-09-29,senior,long jump,26,F,0
7.39,+0.3,Heike DRECHSLER,1964-12-16,GDR,"Letzigrund, Zürich (SUI)",1985-08-21,senior,long jump,20,F,0
7.39,+0.5,Yelena BELEVSKAYA,1963-10-11,URS,Bryansk (URS),1987-07-18,senior,long jump,23,F,0
7.39,0.0,Jackie JOYNER-KERSEE,1962-03-03,USA,"San Diego, CA (USA)",1988-06-25,senior,long jump,26,F,0
7.39,+2.6,Heike DRECHSLER,1964-12-16,GER,Padova (ITA),1991-09-15,senior,long jump,26,F,0
