Rank,Mark,WIND,Competitor,DOB,Unnamed: 5,Pos,Unnamed: 7,Venue,Date,Results Score,Age_category,Event
1,7.63,+2.1,Heike DRECHSLER,16 DEC 1964,GER,1,,Sestriere (ITA),21 JUL 1992,1346,senior,long jump
2,7.52,+1.4,Galina CHISTYAKOVA,26 JUL 1962,URS,1,,Leningrad (URS),11 JUN 1988,1333,senior,long jump
3,7.49,+1.3,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,,"New York, NY (USA)",22 MAY 1994,1327,senior,long jump
3,7.49,+1.7,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,,Sestriere (ITA),31 JUL 1994,1327,senior,long jump
5,7.48,+1.2,Heike DRECHSLER,16 DEC 1964,GDR,1,,Neubrandenburg (GDR),09 JUL 1988,1324,senior,long jump
5,7.48,+0.4,Heike DRECHSLER,16 DEC 1964,GER,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",08 JUL 1992,1324,senior,long jump
7,7.45,+0.9,Heike DRECHSLER,16 DEC 1964,GDR,1,,Tallinn (EST),21 JUN 1986,1318,senior,long jump
7,7.45,+1.1,Heike DRECHSLER,16 DEC 1964,GDR,1,,Dresden (GER),03 JUL 1986,1318,senior,long jump
7,7.45,+0.6,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,,"Indianapolis, IN (USA)",13 AUG 1987,1318,senior,long jump
7,7.45,+1.0,Galina CHISTYAKOVA,26 JUL 1962,URS,,,Leningrad (URS),11 JUN 1988,1318,senior,long jump
7,7.45,+2.6,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,,"Indianapolis, IN (USA)",23 JUL 1988,1303,senior,long jump
7,7.45,+1.6,Galina CHISTYAKOVA,26 JUL 1962,URS,1,,Budapest (HUN),12 AUG 1988,1318,senior,long jump
13,7.44,+2.0,Heike DRECHSLER,16 DEC 1964,GDR,1,,Berlin (GDR),22 SEP 1985,1316,senior,long jump
14,7.43,+1.4,Anișoara CUȘMIR,28 JUN 1962,ROU,1,,Bucureşti (ROU),04 JUN 1983,1313,senior,long jump
15,7.42,+2.0,Tatyana KOTOVA,11 DEC 1976,RUS,1,,"Parc des Sports, Annecy (FRA)",23 JUN 2002,1311,senior,long jump
16,7.4,+1.8,Heike DRECHSLER,16 DEC 1964,GDR,1,,Dresden (GER),26 JUL 1984,1307,senior,long jump
16,7.4,+0.7,Heike DRECHSLER,16 DEC 1964,GDR,1,,Potsdam (GDR),21 AUG 1987,1307,senior,long jump
16,7.4,+0.9,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,,"Olympic Stadium, Seoul (KOR)",29 SEP 1988,1307,senior,long jump
19,7.39,+0.3,Heike DRECHSLER,16 DEC 1964,GDR,1,,"Letzigrund, Zürich (SUI)",21 AUG 1985,1304,senior,long jump
19,7.39,+0.5,Yelena BELEVSKAYA,11 OCT 1963,URS,1,,Bryansk (URS),18 JUL 1987,1304,senior,long jump
19,7.39,,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,,"San Diego, CA (USA)",25 JUN 1988,1304,senior,long jump
19,7.39,+2.6,Heike DRECHSLER,16 DEC 1964,GER,1,,Padova (ITA),15 SEP 1991,1289,senior,long jump
19,7.39,+2.9,Heike DRECHSLER,16 DEC 1964,GER,1,,Sevilla (ESP),06 JUN 1992,1287,senior,long jump
19,7.39,+3.3,Heike DRECHSLER,16 DEC 1964,GER,2,,Sestriere (ITA),31 JUL 1994,1285,senior,long jump
25,7.37,,Heike DRECHSLER,16 DEC 1964,GDR,1,,Wien (AUT) (i),13 FEB 1988,1300,senior,long jump
25,7.37,+1.8,Heike DRECHSLER,16 DEC 1964,GER,1,,Sestriere (ITA),31 JUL 1991,1300,senior,long jump
25,7.37,,Inessa KRAVETS,05 OCT 1966,UKR,1,,Kyiv (UKR),13 JUN 1992,1300,senior,long jump
28,7.36,+0.4,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,,"Stadio Olimpico, Roma (ITA)",04 SEP 1987,1298,senior,long jump
28,7.36,+1.8,Yelena BELEVSKAYA,11 OCT 1963,URS,2,,Leningrad (URS),11 JUN 1988,1298,senior,long jump
28,7.36,+2.2,Galina CHISTYAKOVA,26 JUL 1962,URS,1,,Volgograd (URS),11 JUN 1989,1285,senior,long jump
28,7.36,+1.8,Heike DRECHSLER,16 DEC 1964,GER,1,,Jena (GER),28 MAY 1992,1298,senior,long jump
32,7.35,+3.4,Heike DRECHSLER,16 DEC 1964,GDR,1,,Jena (GDR),28 JUN 1986,1275,senior,long jump
32,7.35,+1.9,Galina CHISTYAKOVA,26 JUL 1962,URS,1,,Bratislava (TCH),20 JUN 1990,1295,senior,long jump
34,7.34,+1.6,Heike DAUTE,16 DEC 1964,GDR,1,,Dresden (GER),19 MAY 1984,1293,senior,long jump
34,7.34,+1.4,Galina CHISTYAKOVA,26 JUL 1962,URS,2,,Tallinn (EST),21 JUN 1986,1293,senior,long jump
34,7.34,,Yelena BELEVSKAYA,11 OCT 1963,URS,1,,Sukhumi (URS),17 MAY 1987,1293,senior,long jump
34,7.34,+0.7,Heike DRECHSLER,16 DEC 1964,GDR,1f1,,Karl Marx Stadt (GDR),20 JUN 1987,1293,senior,long jump
38,7.33,+3.5,Heike DRECHSLER,16 DEC 1964,GDR,1,,Jena (GDR),12 JUN 1985,1270,senior,long jump
38,7.33,+0.4,Heike DRECHSLER,16 DEC 1964,GDR,1,,Erfurt (GER),22 JUN 1985,1291,senior,long jump
38,7.33,+2.0,Heike DRECHSLER,16 DEC 1964,GDR,1,,Dresden (GER),02 AUG 1985,1291,senior,long jump
38,7.33,+2.1,Heike DRECHSLER,16 DEC 1964,GDR,1,,Oslo (NOR),04 JUL 1987,1279,senior,long jump
38,7.33,-0.3,Heike DRECHSLER,16 DEC 1964,GER,1,,"Stade Louis II, Monaco (MON)",11 AUG 1992,1292,senior,long jump
38,7.33,+3.3,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,,"Bislett Stadion, Oslo (NOR)",22 JUL 1994,1272,senior,long jump
38,7.33,+0.4,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,,Tula (RUS),31 JUL 2004,1291,senior,long jump
