Venue,latitude,longitude,elevation,geocode_result
"Stade Charléty, Paris (FRA)",,,,NOT FOUND
"Stadio Olimpico, Roma (ITA)",41.8933203,12.4829321,50.0,"Roma, Roma Capitale, Lazio, Italia"
Sofia (BUL),14.8923941,120.7942091,6.0,"Sofia, Metropolis North Subdivision, Sergio Bayan, Calumpit, Bulacan, Central Luzon, 3000, Philippines"
Arnstadt (GER) (i),50.8349097,10.9461479,286.0,"Arnstadt, Ilm-Kreis, Thüringen, 99310, Deutschland"
Zagreb (CRO),45.8136602,15.9771146,135.0,"Cro.K, 1, Pod zidom, Kaptol, Mjesni odbor ""August Cesarec"", Gradska četvrt Gornji grad - Medveščak, Zagreb, Grad Zagreb, 10106, Hrvatska"
Berlin (GDR),52.5137474,13.4865792,43.0,"ehem. Ministerium für Staatssicherheit, Lichtenberg, Berlin, 10365, Deutschland"
Cagliari (ITA),39.2171994,9.113311,30.0,"Casteddu/Cagliari, Sardigna/Sardegna, Italia"
Karlsruhe (GER) (i),49.0068705,8.4034195,120.0,"Karlsruhe, Baden-Württemberg, Deutschland"
Stockholm (SWE),59.3587062,17.8736682,21.0,"Swe Bilar, Bergslagsvägen, Vällingby, Hässelby-Vällingby stadsdelsområde, Stockholms kommun, Stockholms län, 162 65, Sverige"
Cheboksary (RUS),56.1127843,47.2675014,177.0,"Златая Русь, проспект Мира, Ленинский район, Чебоксары, городской округ Чебоксары, Чувашия, Приволжский федеральный округ, 428020, Россия"
Moskva (URS),55.6474488,37.5168233,229.0,"Фло.Урс, 27А, улица Миклухо-Маклая, район Коньково, Москва, Центральный федеральный округ, 117485, Россия"
Fürth (GER),49.4885711,10.9587203,302.0,"Fürth, Bayern, Deutschland"
Wörrstadt (GER),49.8402496,8.1146932,207.0,"Wörrstadt, Landkreis Alzey-Worms, Rheinland-Pfalz, Deutschland"
Rieti (ITA),42.4147364,12.8858881,492.0,"Rieti, Lazio, Italia"
Athina (GRE) (i),38.06944831681611,23.985538693813712,36.0,NOT FOUND
Eberstadt (GER),49.1808035,9.3205345,197.0,"Eberstadt, Verwaltungsverband Raum Weinsberg, Landkreis Heilbronn, Baden-Württemberg, 74246, Deutschland"
"Stade de France, Paris-St-Denis (FRA)",48.8766102,2.3502105,52.0,"Caserne de la Nouvelle France, Paris 10e Arrondissement, Paris, France métropolitaine, 75010, France"
"Olympic Stadium, Athina (GRE)",-33.8431422,151.06764442523178,21.0,NOT FOUND
Thessaloniki (GRE),40.6403167,22.9352716,14.0,NOT FOUND
Istanbul (TUR),40.9494263,29.3403043,106.0,"Tur Transit Logistics, Kurna Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34916, Türkiye"
Madrid (ESP),4.7279951,-74.284617,2548.0,"Aguas de La Prosperidad ESP, Carrera 23, Potrero Grande, Madrid, Sabana Occidente, Cundinamarca, RAP (Especial) Central, 250030, Colombia"
"Olympiastadion, Berlin (GER)",52.5173885,13.3951309,36.0,"Berlin, Deutschland"
"Stade Olympique de la Pontaise, Lausanne (SUI)",46.5218269,6.6327025,500.0,"Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra"
"Mestský Stadion, Ostrava (CZE)",49.8349139,18.2820084,214.0,NOT FOUND
"Športová hala Dukla, Banská Bystrica (SVK) (i)",48.7383895,19.1585805,347.0,NOT FOUND
Kiev (URS),55.7546711,37.6158254,142.0,NOT FOUND
"Hoosier Dome, Indianapolis, IN (USA) (i)",40.3270127,-86.1746933,275.0,"Indiana, United States"
Oslo (NOR),59.9219205,10.7059501,43.0,"Nor Moské, Nordraaks gate, Aker brygge, Frogner, Oslo, 0266, Norge"
Padova (ITA),45.5581777,11.8149683,23.0,"Ità Casa, 2EF, Via Provinciale, Capitelbello, Campo San Martino, Padova, Veneto, 35010, Italia"
Budapest (HUN),47.4506869,19.0910523,107.0,"Magyar Honvédség Logisztikai Központ, 152, Külső-Ferencváros, IX. kerület, Budapest, Közép-Magyarország, 1095, Magyarország"
"National Stadium, Tokyo (JPN)",35.6932804,139.7297105,54.0,"防衛省市ヶ谷地区, 新宿区, 東京都, 160-8484, 日本"
Sofia (BUL) (i),42.6931694,23.3343748,551.0,"Tourist information Sofia, бул. Васил Левски, Център, София, Средец, Столична, София-град, 1000, България"
San Marino (SMR),43.9458623,12.458306,382.0,NOT FOUND
Fukuoka (JPN),33.6251241,130.6180016,456.0,NOT FOUND
Tokyo (JPN),35.6932804,139.7297105,54.0,"防衛省市ヶ谷地区, 新宿区, 東京都, 160-8484, 日本"
"Olympic Stadium, Atlanta, GA (USA)",33.7355267,-84.3886513,297.0,"Center Parc Stadium, 755, Hank Aaron Drive Southeast, Peoplestown, Atlanta, Fulton County, Georgia, 30315, United States"
Poznan (POL),52.4085501,17.0294886,76.0,"Pol Car, Antoninek, Antoninek-Zieliniec-Kobylepole, Poznań, województwo wielkopolskie, Polska"
Banská Bystrica (SVK) (i),48.7383895,19.1585805,347.0,NOT FOUND
"Crystal Palace, London (GBR)",51.5074456,-0.1277653,17.0,"Greater London, England, United Kingdom"
"National Indoor Arena, Birmingham (GBR) (i)",52.4796992,-1.9026911,153.0,"Birmingham, West Midlands, England, United Kingdom"
"Yanmar Stadium Nagai, Osaka (JPN)",34.7349742,135.4945412,16.0,"JPN, 熊野大阪線, 宮原四丁目, 淀川区, 大阪市, 大阪府, 532-0003, 日本"
Weinheim (GER) (i),49.5462349,8.6717458,137.0,"Weinheim, Rhein-Neckar-Kreis, Baden-Württemberg, 69469, Deutschland"
Ostrava (CZE),49.8349139,18.2820084,214.0,NOT FOUND
"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",53.1275334,18.0243707,45.0,"Pol, Sportowa, Skrzetusko, Bielawy, Bydgoszcz, województwo kujawsko-pomorskie, 85-091, Polska"
"National Stadium, Beijing (CHN)",44.3597629,125.5542679,182.0,"京哈高速, 德惠市, 长春市, 吉林省, 130000, 中国"
Doha (QAT),25.2678234,51.5587853,17.0,"قاعة المغادرة مطار الدوحة الدولي, حديقة المطار, مطار الدوحة الدولي, الدوحة, قطر"
"Drake Stadium, Des Moines, IA (USA)",41.6049816,-93.6550518,276.0,"Drake Stadium, 2719, Forest Avenue, Carpenter, Des Moines, Polk County, Iowa, 50311, United States"
"Poljud Stadion, Split (CRO)",43.5116383,16.4399659,17.0,"Split, Grad Split, Splitsko-dalmatinska županija, Hrvatska"
"Boudewijnstadion, Bruxelles (BEL)",50.8662678,4.3490827,18.0,"BEL, Rue Isala Van Diest - Isala Van Dieststraat, Tour et Taxis - Thurn en Taxis, Bruxelles - Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, België / Belgique / Belgien"
"Olympic Stadium, London (GBR)",51.5074456,-0.1277653,17.0,NOT FOUND
"Stade Louis II, Monaco (MON)",6.814645,-58.1358362,4.0,"Monaco, Second Street, Campbellville, Bel Air Park, City of Georgetown, Plaisance-Industry Local Government, Demerara-Mahaica, Guyana"
"LFK CSKA, Moskva (RUS) (i)",55.6918053,37.5556847,182.0,"РГУ нефти и газа (НИУ) им. И. М. Губкина, улица Дмитрия Ульянова, Гагаринский район, Москва, Центральный федеральный округ, 119333, Россия"
"Sechseläutenplatz, Zürich (SUI)",47.3744489,8.5410422,421.0,"Zürich, Bezirk Zürich, Zürich, Schweiz/Suisse/Svizzera/Svizra"
