Mark,Competitor,DOB,Nat,Venue,Date,Event,Age,Gender,is_indoor
2.45,Javier SOTOMAYOR,1967-10-13,CUB,Salamanca (ESP),1993-07-27,high jump,25,M,0
2.44,Javier SOTOMAYOR,1967-10-13,CUB,San Juan (PUR),1989-07-29,high jump,21,M,0
2.43,Javier SOTOMAYOR,1967-10-13,CUB,Salamanca (ESP),1988-09-08,high jump,20,M,0
2.43,Javier SOTOMAYOR,1967-10-13,CUB,"Budapest Sportcsarnok, Budapest (HUN) (i)",1989-03-04,high jump,21,M,1
2.43,Mutaz Essa BARSHIM,1991-06-24,QAT,"Boudewijnstadion, Bruxelles (BEL)",2014-09-05,high jump,23,M,0
2.42,Patrik SJÖBERG,1965-01-05,SWE,Stockholm (SWE),1987-06-30,high jump,22,M,0
2.42,Carlo THRÄNHARDT,1957-07-05,FRG,Berlin (GER) (i),1988-02-26,high jump,30,M,1
2.42,Javier SOTOMAYOR,1967-10-13,CUB,Sevilla (ESP),1994-06-05,high jump,26,M,0
2.42,Bohdan BONDARENKO,1989-08-30,UKR,"Icahn Stadium, New York, NY (USA)",2014-06-14,high jump,24,M,0
2.42,Mutaz Essa BARSHIM,1991-06-24,QAT,"Icahn Stadium, New York, NY (USA)",2014-06-14,high jump,22,M,0
2.41,Igor PAKLIN,1963-06-15,URS,Kobe (JPN),1985-09-04,high jump,22,M,0
2.41,Patrik SJÖBERG,1965-01-05,SWE,Pireaus (GRE) (i),1987-02-01,high jump,22,M,1
2.41,Javier SOTOMAYOR,1967-10-13,CUB,"The Sky Dome, Toronto (CAN) (i)",1993-03-14,high jump,25,M,1
2.41,Javier SOTOMAYOR,1967-10-13,CUB,La Habana (CUB),1994-06-25,high jump,26,M,0
2.41,Javier SOTOMAYOR,1967-10-13,CUB,"Crystal Palace, London (GBR)",1994-07-15,high jump,26,M,0
2.41,Bohdan BONDARENKO,1989-08-30,UKR,"Stade Olympique de la Pontaise, Lausanne (SUI)",2013-07-04,high jump,23,M,0
2.41,Bohdan BONDARENKO,1989-08-30,UKR,"Luzhniki Stadion, Moskva (RUS)",2013-08-15,high jump,23,M,0
2.41,Mutaz Essa BARSHIM,1991-06-24,QAT,"Stadio Olimpico, Roma (ITA)",2014-06-05,high jump,22,M,0
