Mark,WIND,Competitor,DOB,Nat,Venue,Date,Event,Age,Gender,is_indoor
15.74,0.0,Yulimar ROJAS,1995-10-21,VEN,"Štark Arena, Beograd (SRB) (i)",2022-03-20,triple jump,26,F,1
15.67,+0.7,Yulimar ROJAS,1995-10-21,VEN,"National Stadium, Tokyo (JPN)",2021-08-01,triple jump,25,F,0
15.56,+3.5,Yulimar ROJAS,1995-10-21,VEN,"Stade Olympique de la Pontaise, Lausanne (SUI)",2021-08-26,triple jump,25,F,0
15.52,+0.6,Yulimar ROJAS,1995-10-21,VEN,"Stade Olympique de la Pontaise, Lausanne (SUI)",2021-08-26,triple jump,25,F,0
15.5,+0.9,Inessa KRAVETS,1966-10-05,UKR,"Ullevi Stadium, Göteborg (SWE)",1995-08-10,triple jump,28,F,0
15.48,+0.3,Yulimar ROJAS,1995-10-21,VEN,"Letzigrund, Zürich (SUI)",2021-09-09,triple jump,25,F,0
15.47,+1.9,Yulimar ROJAS,1995-10-21,VEN,"Hayward Field, Eugene, OR (USA)",2022-07-18,triple jump,26,F,0
15.43,0.0,Yulimar ROJAS,1995-10-21,VEN,"Gallur, Madrid (ESP) (i)",2020-02-21,triple jump,24,F,1
15.43,+0.7,Yulimar ROJAS,1995-10-21,VEN,"Polideportivo Municipal, Andújar (ESP)",2021-05-22,triple jump,25,F,0
15.41,+1.5,Yulimar ROJAS,1995-10-21,VEN,Andújar (ESP),2019-09-06,triple jump,23,F,0
15.41,0.0,Yulimar ROJAS,1995-10-21,VEN,"Gallur, Madrid (ESP) (i)",2022-03-02,triple jump,26,F,1
15.39,+0.5,Francoise MBANGO ETONE,1976-04-14,CMR,"National Stadium, Beijing (CHN)",2008-08-17,triple jump,32,F,0
15.37,-0.6,Yulimar ROJAS,1995-10-21,VEN,"Khalifa International Stadium, Doha (QAT)",2019-10-05,triple jump,23,F,0
15.36,0.0,Tatyana LEBEDEVA,1976-07-21,RUS,"Sportaréna, Budapest (HUN) (i)",2004-03-06,triple jump,27,F,1
15.35,+1.2,Yulimar ROJAS,1995-10-21,VEN,"Hayward Field, Eugene, OR (USA)",2023-09-16,triple jump,27,F,0
15.34,-0.5,Tatyana LEBEDEVA,1976-07-21,RUS,Herakleion (GRE),2004-07-04,triple jump,27,F,0
15.34,+2.2,Yulimar ROJAS,1995-10-21,VEN,"Estadio Vallehermoso, Madrid (ESP)",2021-06-19,triple jump,25,F,0
15.33,-0.1,Inessa KRAVETS,1966-10-05,UKR,"Olympic Stadium, Atlanta, GA (USA)",1996-07-31,triple jump,29,F,0
15.33,+1.2,Tatyana LEBEDEVA,1976-07-21,RUS,"Stade Olympique de la Pontaise, Lausanne (SUI)",2004-07-06,triple jump,27,F,0
15.32,+0.5,Tatyana LEBEDEVA,1976-07-21,RUS,Yokohama (JPN),2000-09-09,triple jump,24,F,0
15.32,+0.9,Chrysopigi DEVETZI,1976-01-02,GRE,"Olympic Stadium, Athina (GRE)",2004-08-21,triple jump,28,F,0
15.31,0.0,Caterine IBARGUEN,1984-02-12,COL,"Stade Louis II, Monaco (MON)",2014-07-18,triple jump,30,F,0
15.31,-0.2,Yulimar ROJAS,1995-10-21,VEN,"Stade Olympique de la Pontaise, Lausanne (SUI)",2022-08-26,triple jump,26,F,0
15.3,+0.5,Francoise MBANGO ETONE,1976-04-14,CMR,"Olympic Stadium, Athina (GRE)",2004-08-23,triple jump,28,F,0
15.29,+0.3,Yamilé ALDAMA,1972-08-14,CUB,"Stadio Olimpico, Roma (ITA)",2003-07-11,triple jump,30,F,0
15.28,+0.3,Yamilé ALDAMA,1972-08-14,SUD,Linz (AUT),2004-08-02,triple jump,31,F,0
15.28,+0.9,Yargelis SAVIGNE,1984-11-13,CUB,"Yanmar Stadium Nagai, Osaka (JPN)",2007-08-31,triple jump,22,F,0
15.28,-0.2,Yulimar ROJAS,1995-10-21,VEN,"Letzigrund, Zürich (SUI)",2022-09-08,triple jump,26,F,0
15.27,+1.2,Yamilé ALDAMA,1972-08-14,CUB,"Crystal Palace, London (GBR)",2003-08-08,triple jump,30,F,0
15.25,-0.8,Tatyana LEBEDEVA,1976-07-21,RUS,"Commonwealth Stadium, Edmonton (CAN)",2001-08-10,triple jump,25,F,0
15.25,0.0,Tatyana LEBEDEVA,1976-07-21,RUS,"Sportaréna, Budapest (HUN) (i)",2004-03-06,triple jump,27,F,1
15.25,-0.1,Chrysopigi DEVETZI,1976-01-02,GRE,"Olympic Stadium, Athina (GRE)",2004-08-23,triple jump,28,F,0
15.25,+1.7,Olga RYPAKOVA,1984-11-30,KAZ,"Poljud Stadion, Split (CRO)",2010-09-04,triple jump,25,F,0
15.24,+4.2,Magdelín MARTÍNEZ,1976-02-10,ITA,Sestriere (ITA),2004-08-01,triple jump,28,F,0
15.23,+0.8,Tatyana LEBEDEVA,1976-07-21,RUS,Rethymno (GRE),2004-06-23,triple jump,27,F,0
15.23,+0.6,Tatyana LEBEDEVA,1976-07-21,RUS,"Olympic Stadium, Athina (GRE)",2006-07-03,triple jump,29,F,0
15.21,+1.2,Yamilé ALDAMA,1972-08-14,SUD,Rethymno (GRE),2004-06-23,triple jump,31,F,0
15.2,0.0,Šárka KAŠPÁRKOVÁ,1971-05-20,CZE,"Olympic Stadium, Athina (GRE)",1997-08-04,triple jump,26,F,0
15.2,-0.3,Tereza MARINOVA,1977-09-25,BUL,"Olympic Stadium, Sydney (AUS)",2000-09-24,triple jump,22,F,0
15.2,+1.3,Yargelis SAVIGNE,1984-11-13,CUB,Rethymno (GRE),2008-07-14,triple jump,23,F,0
15.19,+0.5,Tatyana LEBEDEVA,1976-07-21,RUS,"Stade Olympique de la Pontaise, Lausanne (SUI)",2006-07-11,triple jump,29,F,0
15.19,+1.4,Yulimar ROJAS,1995-10-21,VEN,"Estadio Vallehermoso, Madrid (ESP)",2021-06-19,triple jump,25,F,0
15.18,+0.3,Iva PRANDZHEVA,1972-02-15,BUL,"Ullevi Stadium, Göteborg (SWE)",1995-08-10,triple jump,23,F,0
15.18,-0.2,Tatyana LEBEDEVA,1976-07-21,RUS,"Stade de France, Paris-St-Denis (FRA)",2003-08-26,triple jump,27,F,0
15.18,+2.1,Caterine IBARGUEN,1984-02-12,COL,"Hayward Field, Eugene, OR (USA)",2015-05-30,triple jump,31,F,0
15.18,+0.3,Yulimar ROJAS,1995-10-21,VEN,"Stadion Śląski, Chorzów (POL)",2023-07-16,triple jump,27,F,0
15.17,+2.4,Anna PYATYKH,1981-04-04,RUS,"Olympic Stadium, Athina (GRE)",2006-07-03,triple jump,25,F,0
15.17,+0.4,Caterine IBARGUEN,1984-02-12,COL,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-14,triple jump,32,F,0
15.16,+0.1,Rodica MATEESCU,1971-03-13,ROU,"Olympic Stadium, Athina (GRE)",1997-08-04,triple jump,26,F,0
15.16,0.0,Ashia HANSEN,1971-12-05,GBR,"Velódromo Luis Puig, Valencia (ESP) (i)",1998-02-28,triple jump,26,F,1
15.16,0.0,Tatyana LEBEDEVA,1976-07-21,RUS,"Sportaréna, Budapest (HUN) (i)",2004-03-06,triple jump,27,F,1
15.16,+0.7,Trecia Kaye SMITH,1975-11-05,JAM,Linz (AUT),2004-08-02,triple jump,28,F,0
15.16,+1.1,Yulimar ROJAS,1995-10-21,VEN,San Salvador (ESA),2023-07-05,triple jump,27,F,0
15.16,+2.3,Leyanis PÉREZ HERNÁNDEZ,2002-01-10,CUB,"Pista atletismo Fuente de la Niña, Guadalajara (ESP)",2024-06-23,triple jump,22,F,0
15.15,+1.7,Ashia HANSEN,1971-12-05,GBR,Fukuoka (JPN),1997-09-13,triple jump,25,F,0
15.15,+1.4,Tatyana LEBEDEVA,1976-07-21,RUS,"Ullevi Stadium, Göteborg (SWE)",2006-08-09,triple jump,30,F,0
15.15,+2.0,Yulimar ROJAS,1995-10-21,VEN,"Suhaim bin Hamad Stadium, Doha (QAT)",2021-05-28,triple jump,25,F,0
15.15,+0.2,Yulimar ROJAS,1995-10-21,VEN,"Letzigrund, Zürich (SUI)",2023-08-31,triple jump,27,F,0
15.14,-0.1,Rodica MATEESCU,1971-03-13,ROU,Bucureşti (ROU),1997-06-14,triple jump,26,F,0
