Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score
1,8.28,+1.8,Maykel MASSÓ,08 MAY 1999,CUB,1,,La Habana (CUB),28 MAY 2016,1199
2,8.25,+1.9,Luis Alberto BUENO,22 MAY 1969,CUB,1,,La Habana (CUB),28 SEP 1986,1192
3,8.24,+4.5,Dodley THERMITUS,,USA,1,,"Hobbs, NM (USA)",16 MAY 2019,1163
4,8.17,+0.5,Xiaoyi ZHANG,25 MAY 1989,CHN,1,,Chongqing (CHN),23 APR 2006,1175
5,8.12,+1.4,Ahmed Fayez AL DOSARI,03 JUL 1985,KSA,1,,Qatif (KSA),27 MAR 2002,1164
5,8.12,,Viktor KUZNYETSOV,14 JUL 1986,UKR,1,,Brovary (UKR) (i),20 DEC 2003,1164
5,8.12,+1.7,Koki FUJIHARA,31 MAY 2002,JPN,1,,Okinawa (JPN),05 AUG 2019,1164
8,8.07,0.0,Lester LESCAY,15 OCT 2001,CUB,2,,La Habana (CUB),08 JUN 2018,1153
9,8.06,+0.8,Temoso MASIKANE,26 APR 2006,RSA,1,,"Levy Mwanawasa Stadion, Ndola (ZAM)",30 APR 2023,1151
10,8.05,+1.7,Kareem STREETE-THOMPSON,30 MAR 1973,CAY,2,,"Orlando, FL (USA)",20 JUL 1990,1149
10,8.05,NWI,Juan Miguel ECHEVARRÍA,11 AUG 1998,CUB,1,,La Habana (CUB),15 MAY 2015,1119
10,8.05,+1.4,Remi MOURIE,23 APR 2008,FRA,2,,"Stade Municipal, Pezenas (FRA)",14 JUN 2025,1149
13,8.04,-0.2,Jianan WANG,27 AUG 1996,CHN,1,,Kunshan (CHN),22 SEP 2012,1147
13,8.04,+1.8,Mattia FURLANI,07 FEB 2005,ITA,1f1,,"Givat Ram Stadium, Jerusalem (ISR)",05 JUL 2022,1146
13,8.04,0.0,. SHAHNAVAZ,02 FEB 2008,IND,2,,"Kalinga Stadium, Bhubaneshwar (IND)",10 AUG 2025,1146
16,8.03,+2.0,Cheng WANG,04 NOV 1980,CHN,q,,Shanghai (CHN),22 OCT 1997,1144
16,8.03,,Reece PONTIOUS,,USA,1,,"Mason, OH (USA)",18 MAY 2012,1144
18,8.02,0.0,Peng CAI,28 MAR 1983,CHN,1,,Xinxiang (CHN),24 MAY 1999,1142
19,8.01,+0.5,Darcy ROPER,31 MAR 1998,AUS,2,,"Pascual Guerrero Stadium, Cali (COL)",16 JUL 2015,1140
20,8.00,+2.2,Chris NOFFKE,06 JAN 1988,AUS,1,,Sydney (AUS),05 MAR 2005,1125
20,8.00,+1.7,Maidis GORRILLOT,2009,FRA,3,,"Stade Municipal, Pezenas (FRA)",14 JUN 2025,1138
22,7.98,+2.0,Jonathan MOORE,31 MAY 1984,GBR,1,,Dôle (FRA),29 JUL 2001,1133
23,7.97,+1.4,Jhamal BOWEN,08 JAN 1991,PAN,1,,Barquisimeto (VEN),11 MAY 2008,1131
24,7.96,+1.8,Masaki MORINAGA,27 MAR 1972,JPN,1,,Kitakyushu (JPN),03 NOV 1989,1129
24,7.96,,Sukhasvasti Na Ayudhaya SUPANARA,11 JUN 1992,THA,1,,Suphan Buri (THA),24 JUL 2009,1129
24,7.96,+2.0,Lin QING,05 APR 1995,CHN,1,,Colombo (SRI),09 JUN 2012,1129
