Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score
1,8.99,+4.4,Mike POWELL,10 NOV 1963,USA,1,,Sestriere (ITA),21 JUL 1992,1329
2,8.95,+0.3,Mike POWELL,10 NOV 1963,USA,1,,"National Stadium, Tokyo (JPN)",30 AUG 1991,1346
2,8.95,+3.9,Mike POWELL,10 NOV 1963,USA,1,,Sestriere (ITA),31 JUL 1994,1323
4,8.92,+3.3,Juan Miguel ECHEVARRÍA,11 AUG 1998,CUB,1,,La Habana (CUB),10 MAR 2019,1321
5,8.91,+2.9,Carl LEWIS,01 JUL 1961,USA,2,,"National Stadium, Tokyo (JPN)",30 AUG 1991,1320
6,8.90,+2.0,Bob BEAMON,29 AUG 1946,USA,1,,"Estadio Olímpico, Ciudad de México (MEX)",18 OCT 1968,1335
6,8.90,+3.7,Mike POWELL,10 NOV 1963,USA,1,,"Modesto, CA (USA)",16 MAY 1992,1313
8,8.87,-0.2,Carl LEWIS,01 JUL 1961,USA,,,"National Stadium, Tokyo (JPN)",30 AUG 1991,1330
9,8.86,+1.9,Robert EMMIYAN,16 FEB 1965,URS,1,,Tsakhadzor (ARM),22 MAY 1987,1326
10,8.83,+2.1,Juan Miguel ECHEVARRÍA,11 AUG 1998,CUB,1,,"Olympiastadion, Stockholm (SWE)",10 JUN 2018,1308
11,8.79,+1.9,Carl LEWIS,01 JUL 1961,USA,1,,"Indianapolis, IN (USA)",19 JUN 1983,1311
11,8.79,,Carl LEWIS,01 JUL 1961,USA,1,,"New York, NY (USA) (i)",27 JAN 1984,1311
11,8.79,+3.0,Iván PEDROSO,17 DEC 1972,CUB,1,,La Habana (CUB),21 MAY 1992,1293
14,8.78,+3.1,Fabrice LAPIERRE,17 OCT 1983,AUS,1,,Perth (AUS),18 APR 2010,1291
15,8.77,+3.9,Carl LEWIS,01 JUL 1961,USA,1,,"Westwood, CA (USA)",18 MAY 1985,1283
15,8.77,+3.4,Carl LEWIS,01 JUL 1961,USA,1,,"Walnut, CA (USA)",26 APR 1987,1286
17,8.76,+1.0,Carl LEWIS,01 JUL 1961,USA,1,,"Indianapolis, IN (USA)",24 JUL 1982,1304
17,8.76,+0.8,Carl LEWIS,01 JUL 1961,USA,1,,"Indianapolis, IN (USA)",18 JUL 1988,1304
19,8.75,+2.1,Carl LEWIS,01 JUL 1961,USA,1,,"Indianapolis, IN (USA)",16 AUG 1987,1290
20,8.74,+1.4,Larry MYRICKS,10 MAR 1956,USA,2,,"Indianapolis, IN (USA)",18 JUL 1988,1300
20,8.74,+2.0,Erick WALDER,05 NOV 1971,USA,1,,"El Paso, TX (USA)",02 APR 1994,1300
