Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score
1,17.87,+1.3,Jaydon HIBBERT,17 JAN 2005,JAM,1,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",13 MAY 2023,1258
2,17.75,-0.7,Jaydon HIBBERT,17 JAN 2005,JAM,1,,"National Stadium, Kingston (JAM)",01 JUN 2024,1249
3,17.70,-0.2,Jaydon HIBBERT,17 JAN 2005,JAM,1q2,,"Nemzeti Atlétikai Központ, Budapest (HUN)",19 AUG 2023,1240
4,17.68,+1.4,Jaydon HIBBERT,17 JAN 2005,JAM,1,,"National Stadium, Kingston (JAM)",09 JUL 2023,1237
5,17.66,+1.7,Jaydon HIBBERT,17 JAN 2005,JAM,2,,"Stade Louis II, Monaco (MON)",21 JUL 2023,1235
6,17.61,-0.9,Jaydon HIBBERT,17 JAN 2005,JAM,4,,"Stade de France, Paris (FRA)",09 AUG 2024,1235
7,17.57,-1.3,Jaydon HIBBERT,17 JAN 2005,JAM,1,,"National Stadium, Kingston (JAM)",11 MAY 2024,1232
8,17.56,-0.3,Jaydon HIBBERT,17 JAN 2005,JAM,1,,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1225
9,17.54,,Jaydon HIBBERT,17 JAN 2005,JAM,1,,"Convention Center, Albuquerque, NM (USA) (i)",11 MAR 2023,1222
10,17.50,+0.4,Volker MAI,03 MAY 1966,GDR,1,,Erfurt (GER),23 JUN 1985,1218
11,17.49,+0.1,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,1,,Camagüey (CUB),03 JUL 2019,1217
12,17.42,+1.3,Khristo MARKOV,27 JAN 1965,BUL,1,,Sofia (BUL),19 MAY 1984,1209
13,17.41,+1.0,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,1,,La Habana (CUB),08 JUN 2018,1208
14,17.40,+0.4,Pedro PÉREZ DUENAS,23 FEB 1952,CUB,1,,Cali (COL),05 AUG 1971,1207
14,17.40,+0.8,Ernesto REVÉ,26 FEB 1992,CUB,1,,La Habana (CUB),10 JUN 2011,1207
16,17.38,+0.1,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,2,,"Estadio Atlético de la VIDENA, Lima (PER)",10 AUG 2019,1205
17,17.33,+2.1,Teddy TAMGHO,15 JUN 1989,FRA,1,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",11 JUL 2008,1188
17,17.33,+4.3,Jaydon HIBBERT,17 JAN 2005,JAM,1,,"Flora Duffy Stadium, Devonshire (BER)",28 APR 2024,1175
19,17.32,+0.5,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,1,,La Habana (CUB),17 FEB 2018,1199
20,17.31,-0.2,David GIRAT,26 AUG 1984,CUB,1q1,,"Stade de France, Paris-St-Denis (FRA)",23 AUG 2003,1199
21,17.30,+0.6,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,1,,"Kasarani, Nairobi (KEN)",14 JUL 2017,1197
22,17.29,-0.9,Khristo MARKOV,27 JAN 1965,BUL,3,,Moskva (URS),18 AUG 1984,1201
22,17.29,+1.3,James BECKFORD,09 JAN 1975,JAM,1,,"Tempe, AZ (USA)",02 APR 1994,1196
22,17.29,+2.6,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,2,,Barranquilla (COL),02 AUG 2018,1181
25,17.28,0.0,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,1,,Camagüey (CUB),01 JUN 2018,1194
26,17.27,w,Aliecer URRUTIA,22 SEP 1974,CUB,1,,Artemisa (CUB),23 APR 1993,1163
26,17.27,+1.6,Cristian NÁPOLES,27 NOV 1998,CUB,2,,La Habana (CUB),17 MAR 2017,1193
26,17.27,+1.3,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,,,Barranquilla (COL),02 AUG 2018,1193
26,17.27,0.0,Jaydon HIBBERT,17 JAN 2005,JAM,1,,"Pascual Guerrero Stadium, Cali (COL)",05 AUG 2022,1193
30,17.26,+1.7,Volker MAI,03 MAY 1966,GDR,2,,Moskva (URS),18 AUG 1985,1192
31,17.24,+1.3,David GIRAT,26 AUG 1984,CUB,1,,Santiago de Cuba (CUB),05 AUG 2003,1190
31,17.24,+2.5,Will CLAYE,13 JUN 1991,USA,1,,"Fayetteville, AR (USA)",13 JUN 2009,1175
31,17.24,+0.7,Lázaro MARTÍNEZ,03 NOV 1997,CUB,2,,La Habana (CUB),01 FEB 2014,1190
34,17.23,+0.2,Yoelbi QUESADA,04 AUG 1973,CUB,1,,La Habana (CUB),13 MAY 1992,1189
34,17.23,+0.1,David GIRAT,26 AUG 1984,CUB,4,,"Stade de France, Paris-St-Denis (FRA)",25 AUG 2003,1189
34,17.23,0.0,Junjie GU,05 MAY 1985,CHN,1,,Hefei (CHN),26 SEP 2004,1189
37,17.21,0.0,Yoelbi QUESADA,04 AUG 1973,CUB,3q2,,"Estadio Olímpico, Barcelona (ESP)",01 AUG 1992,1187
37,17.21,+0.2,Cristian NÁPOLES,27 NOV 1998,CUB,1,,La Habana (CUB),28 MAY 2017,1187
39,17.20,,Melvin RAFFIN,09 AUG 1998,FRA,2q,,"Kombank Arena, Beograd (SRB) (i)",03 MAR 2017,1186
40,17.19,+1.4,Khristo MARKOV,27 JAN 1965,BUL,1,,Sofia (BUL),02 JUN 1984,1185
40,17.19,-0.4,Teddy TAMGHO,15 JUN 1989,FRA,4,,"Stade Louis II, Monaco (MON)",29 JUL 2008,1187
40,17.19,+2.0,Will CLAYE,13 JUN 1991,USA,,,"Fayetteville, AR (USA)",13 JUN 2009,1185
43,17.18,+1.9,Yoelbi QUESADA,04 AUG 1973,CUB,6,,"Estadio Olímpico, Barcelona (ESP)",03 AUG 1992,1184
43,17.18,+2.4,Alexey FYODOROV,25 MAY 1991,RUS,2,,Villeneuve d'Ascq (FRA),24 AUG 2010,1170
45,17.17,+1.5,Jaydon HIBBERT,17 JAN 2005,JAM,1,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",29 APR 2023,1183
46,17.16,+2.7,Lázaro MARTÍNEZ,03 NOV 1997,CUB,1,,La Habana (CUB),21 FEB 2014,1166
46,17.16,-0.1,Cristian NÁPOLES,27 NOV 1998,CUB,4,,"Olympic Stadium, London (GBR)",10 AUG 2017,1182
48,17.15,+3.8,Leslie CAESAR,14 JAN 1997,CUB,1,,La Habana (CUB),13 FEB 2016,1159
48,17.15,-0.4,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,1,,"Ratinan Stadion, Tampere (FIN)",14 JUL 2018,1183
50,17.14,,Volker MAI,03 MAY 1966,GDR,3,,"Peace and Friendship Stadium, Piraeus (GRE) (i)",02 MAR 1985,1179
50,17.14,+2.7,Will CLAYE,13 JUN 1991,USA,1f2,,"Eugene, OR (USA)",28 JUN 2009,1163
50,17.14,-0.3,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,1,,Camagüey (CUB),26 MAY 2018,1180
50,17.14,-0.8,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,1,,La Chaux-de-Fonds (SUI),01 JUL 2018,1183
50,17.14,+1.9,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,1q1,,Buenos Aires (ARG),13 OCT 2018,1179
55,17.13,+1.4,Yoelbi QUESADA,04 AUG 1973,CUB,2q1,,"National Stadium, Tokyo (JPN)",25 AUG 1991,1178
55,17.13,+4.1,Marian OPREA,06 JUN 1982,ROU,1,,Budapest (HUN),24 JUN 2001,1154
55,17.13,+4.6,Kenneth HALL,17 APR 1986,USA,1,,"Eugene, OR (USA)",01 AUG 2004,1151
55,17.13,0.0,Shuo CAO,08 OCT 1991,CHN,1,,Yulin (CHN),17 MAY 2009,1178
55,17.13,+0.7,Lázaro MARTÍNEZ,03 NOV 1997,CUB,1,,"Hayward Field, Eugene, OR (USA)",27 JUL 2014,1178
60,17.12,+1.2,Volker MAI,03 MAY 1966,GDR,2,,Potsdam (GDR),21 JUL 1984,1177
60,17.12,+0.6,Alexey FYODOROV,25 MAY 1991,RUS,1,,Moskva (RUS),07 JUN 2010,1177
62,17.11,+1.4,Marian OPREA,06 JUN 1982,ROU,2,,Beijing (CHN),31 AUG 2001,1176
62,17.11,,Lázaro MARTÍNEZ,03 NOV 1997,CUB,2,,La Habana (CUB),20 MAR 2014,1176
64,17.10,,Khristo MARKOV,27 JAN 1965,BUL,1,,Fürth (GER),09 JUN 1984,1175
64,17.10,,Jaydon HIBBERT,17 JAN 2005,JAM,1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",25 FEB 2023,1175
66,17.09,+0.7,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,1q2,,"Ratinan Stadion, Tampere (FIN)",13 JUL 2018,1174
67,17.07,,Volker MAI,03 MAY 1966,GDR,4,,"Bruce Stadium, Canberra (AUS)",04 OCT 1985,1172
67,17.07,-0.2,Lázaro MARTÍNEZ,03 NOV 1997,CUB,3,,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1173
67,17.07,,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,3,,"Arena Stade Couvert, Liévin (FRA) (i)",19 FEB 2020,1172
70,17.06,+1.2,David GIRAT,26 AUG 1984,CUB,1,,La Habana (CUB),13 JUN 2003,1171
70,17.06,-1.1,Lázaro MARTÍNEZ,03 NOV 1997,CUB,1,,La Habana (CUB),10 MAY 2014,1177
70,17.06,-1.1,Lázaro MARTÍNEZ,03 NOV 1997,CUB,1,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",21 JUL 2016,1177
70,17.06,-0.4,Cristian NÁPOLES,27 NOV 1998,CUB,1q2,,"Olympic Stadium, London (GBR)",07 AUG 2017,1173
70,17.06,+0.8,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,8,,"Khalifa International Stadium, Doha (QAT)",29 SEP 2019,1171
75,17.05,,Khristo MARKOV,27 JAN 1965,BUL,1,,Sofia (BUL) (i),11 FEB 1984,1170
75,17.05,+0.6,Ernesto REVÉ,26 FEB 1992,CUB,1,,La Habana (CUB),17 FEB 2011,1170
75,17.05,+2.8,Jaydon HIBBERT,17 JAN 2005,JAM,1,,"National Stadium, Kingston (JAM)",18 APR 2022,1154
78,17.04,+0.4,Yoelbi QUESADA,04 AUG 1973,CUB,1,,"Olympic Stadium, Seoul (KOR)",19 SEP 1992,1169
78,17.04,+1.5,Nazim BABAYEV,08 OCT 1997,AZE,1,,"Ekängens Friidrottsarena, Eskilstuna (SWE)",19 JUL 2015,1169
78,17.04,,Melvin RAFFIN,09 AUG 1998,FRA,1,,Aubière (FRA) (i),07 JAN 2017,1169
78,17.04,+1.9,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,1f1,,Buenos Aires (ARG),16 OCT 2018,1169
82,17.03,+0.6,Osiris MORA,03 OCT 1973,CUB,2,,"Olympic Stadium, Seoul (KOR)",19 SEP 1992,1168
82,17.03,-0.4,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,2,,Camagüey (CUB),04 FEB 2018,1170
84,17.02,NWI,Volker MAI,03 MAY 1966,GDR,3,,Tokyo (JPN),14 SEP 1984,1137
84,17.02,NWI,Lázaro MARTÍNEZ,03 NOV 1997,CUB,1,,La Habana (CUB),15 MAY 2015,1137
86,17.01,+3.2,Will CLAYE,13 JUN 1991,USA,1f2,,"Lubbock, TX (USA)",17 MAY 2009,1147
86,17.01,0.0,Ethan OLIVIER,07 AUG 2005,NZL,1,,"McArthur Stadium, Potchefstroom (RSA)",25 MAY 2024,1166
86,17.01,+1.4,Ethan OLIVIER,07 AUG 2005,NZL,1,,"Estadio Atlético de la VIDENA, Lima (PER)",29 AUG 2024,1166
89,17.00,,Gustavo PLATT,29 JUL 1954,CUB,1,,La Habana (CUB),05 MAY 1973,1165
89,17.00,,Yevgeniy TIMOFEYEV,22 FEB 1974,RUS,1,,Krasnodar (RUS),26 MAY 1993,1165
89,17.00,-0.2,Cristian NÁPOLES,27 NOV 1998,CUB,1,,Göteborg (SWE),11 JUL 2017,1166
92,16.99,,Volker MAI,03 MAY 1966,GDR,1,,Senftenberg (GER) (i),02 FEB 1985,1163
92,16.99,+0.5,Jaydon HIBBERT,17 JAN 2005,JAM,3q2,,"Stade de France, Paris (FRA)",07 AUG 2024,1163
94,16.98,-0.2,Sergiy BYKOV,11 MAY 1971,URS,1,,"Deveti Septemvri Stadium, Plovdiv (BUL)",12 AUG 1990,1163
94,16.98,,Christian TAYLOR,18 JUN 1990,USA,1,,"College Station, TX (USA) (i)",14 MAR 2009,1162
94,16.98,+1.9,Cristian NÁPOLES,27 NOV 1998,CUB,2,,La Habana (CUB),11 FEB 2017,1162
94,16.98,+0.1,Andy HECHAVARRÍA,14 SEP 2000,CUB,2,,Camagüey (CUB),10 FEB 2019,1162
98,16.97,+0.2,Igor PARYGIN,03 FEB 1967,URS,1,,"Olympic Stadium, Athina (GRE)",20 JUL 1986,1161
98,16.97,+0.7,Martin LAMOU,13 MAY 1999,FRA,1,,"Stadio Zecchini, Grosseto (ITA)",23 JUL 2017,1161
100,16.96,+1.7,Godfrey Khotso MOKOENA,06 MAR 1985,RSA,1,,Bloemfontein (RSA),03 APR 2004,1160
100,16.96,+3.5,Andy HECHAVARRÍA,14 SEP 2000,CUB,2,,La Habana (CUB),24 MAY 2019,1139
100,16.96,+7.5,Ethan OLIVIER,07 AUG 2005,NZL,2,,"Stade Jean Adret, Sotteville-lès-Rouen (FRA)",04 JUL 2024,1115
