Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score
1,7.02,+4.0,Heike DAUTE,16 DEC 1964,GDR,1,,"Atletiekbaan Overvecht, Utrecht (NED)",20 AUG 1981,1198
2,6.91,+1.0,Heike DAUTE,16 DEC 1964,GDR,1,,Jena (GDR),09 AUG 1981,1198
3,6.82,,Natalya SHEVCHENKO,28 DEC 1966,URS,1,,Novokuznetsk (RUS),17 JUL 1983,1178
4,6.71,+4.0,Nicole BOEGMAN,05 MAR 1967,AUS,1,,Sydney (AUS),15 SEP 1983,1130
4,6.71,+3.6,Susana HERNÁNDEZ,18 JAN 1999,MEX,1,,"Walnut, CA (USA)",17 APR 2015,1133
6,6.70,NWI,Heike DAUTE,16 DEC 1964,GDR,1,,La Habana (CUB),15 AUG 1980,1122
7,6.69,+4.6,Joanne WISE,15 MAR 1971,GBR,3,,"Laurentian University Stadium, Sudbury (CAN)",30 JUL 1988,1122
8,6.68,,Natalya SHEVCHENKO,28 DEC 1966,URS,1,,Vilnius (LTU),10 JUL 1983,1147
8,6.68,+0.7,Lanae-Tava THOMAS,28 JAN 2001,USA,1,,"Lawrence, KS (USA)",26 JUL 2017,1147
10,6.65,+3.0,Shermin OKSUZ,24 MAR 1984,AUS,2,,Brisbane (AUS),25 MAR 2001,1123
11,6.64,+1.3,Anu KALJURAND,16 APR 1969,EST,1,,Riga (LAT),30 MAY 1986,1138
11,6.64,+0.2,Larissa IAPICHINO,18 JUL 2002,ITA,1,,Agropoli (ITA),22 JUN 2019,1138
13,6.63,,Helga RADTKE,16 MAY 1962,GDR,2,,Karl Marx Stadt (GDR),11 AUG 1979,1136
13,6.63,w,Oluyinka IDOWU,25 FEB 1972,GBR,1,,Oxford (GBR),21 MAY 1989,1106
15,6.62,,Helga RADTKE,16 MAY 1962,GDR,1,,Erfurt (GER),23 JUN 1979,1134
15,6.62,,Larisa BALUTA,13 AUG 1965,URS,1,,Zaporozhye (URS),19 SEP 1982,1134
15,6.62,NWI,Lyudmila GALKINA,20 JAN 1972,URS,1,,Karl Marx Stadt (GDR),18 JUN 1989,1104
18,6.61,+0.6,Natalya SHEVCHENKO,28 DEC 1966,URS,1,,Halle (GER),25 JUN 1983,1132
18,6.61,,Anu KALJURAND,16 APR 1969,URS,1,,Leningrad (URS) (i),01 FEB 1986,1132
18,6.61,+4.3,Laura Raquel MÜLLER,23 APR 2004,GER,4,,"Kadrioru staadion, Tallinn (EST)",18 JUL 2021,1107
21,6.60,+2.4,Laura Raquel MÜLLER,23 APR 2004,GER,1,,"Leichtathletikstadion, Rostock (GER)",31 JUL 2021,1116
22,6.59,+2.2,Shaili SINGH,07 JAN 2004,IND,2,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",22 AUG 2021,1115
23,6.58,+1.2,Larissa IAPICHINO,18 JUL 2002,ITA,1,,"Ryavallen, Borås (SWE)",21 JUL 2019,1125
24,6.57,+0.5,Yangxia ZHOU,10 FEB 1983,CHN,3,,Beijing (CHN),01 SEP 2000,1123
24,6.57,,Heather ARNETON,27 JUL 2002,FRA,1,,Eaubonne (FRA) (i),15 JAN 2017,1123
26,6.56,+2.1,Susan HEARNSHAW,26 MAY 1961,GBR,2,,Strasbourg (FRA),25 JUN 1978,1109
26,6.56,0.0,Lu XIN,01 DEC 1980,CHN,q,,Shanghai (CHN),21 OCT 1997,1121
26,6.56,+1.3,Lu XIN,01 DEC 1980,CHN,7,,Shanghai (CHN),22 OCT 1997,1121
26,6.56,0.0,Heather ARNETON,27 JUL 2002,FRA,1ce,,Angoulême (FRA),08 JUL 2017,1121
30,6.55,,Nicole BOEGMAN,05 MAR 1967,AUS,1,,Narrabeen (AUS),09 AUG 1983,1119
30,6.55,,Nicole BOEGMAN,05 MAR 1967,AUS,1,,Sydney (AUS),15 OCT 1983,1119
30,6.55,-0.4,Maria Chiara BACCINI,21 JUL 1981,ITA,3,,"Parc des Sports, Annecy (FRA)",31 JUL 1998,1121
